T / K	p / MPa	u / kJ/kg	h / kJ/kg	s / kJ/kgK	v / m3/kg	cp / kJ/kgK	cv / kJ/kgK
3.43904649e+02	3.22331326e+04	2.46982350e+06	2.62738788e+06	7.74282056e+03	4.88827390e+00	1.98897219e+03	1.49564127e+03
3.44278959e+02	3.27558761e+04	2.47030288e+06	2.62802655e+06	7.73730623e+03	4.81512587e+00	1.98983134e+03	1.49621997e+03
3.44653269e+02	3.32857637e+04	2.47078190e+06	2.62866473e+06	7.73180742e+03	4.74325380e+00	1.99069592e+03	1.49680184e+03
3.45027580e+02	3.38228732e+04	2.47126057e+06	2.62930242e+06	7.72632405e+03	4.67263252e+00	1.99156599e+03	1.49738692e+03
3.45401890e+02	3.43672826e+04	2.47173887e+06	2.62993963e+06	7.72085606e+03	4.60323740e+00	1.99244161e+03	1.49797526e+03
3.45776200e+02	3.49190707e+04	2.47221681e+06	2.63057634e+06	7.71540338e+03	4.53504438e+00	1.99332284e+03	1.49856688e+03
3.46150511e+02	3.54783169e+04	2.47269438e+06	2.63121257e+06	7.70996595e+03	4.46802989e+00	1.99420974e+03	1.49916184e+03
3.46524821e+02	3.60451010e+04	2.47317159e+06	2.63184829e+06	7.70454371e+03	4.40217089e+00	1.99510236e+03	1.49976016e+03
3.46899131e+02	3.66195036e+04	2.47364843e+06	2.63248351e+06	7.69913659e+03	4.33744483e+00	1.99600079e+03	1.50036191e+03
3.47273441e+02	3.72016058e+04	2.47412490e+06	2.63311822e+06	7.69374452e+03	4.27382965e+00	1.99690506e+03	1.50096710e+03
3.47647752e+02	3.77914894e+04	2.47460099e+06	2.63375243e+06	7.68836746e+03	4.21130378e+00	1.99781525e+03	1.50157579e+03
3.48022062e+02	3.83892367e+04	2.47507671e+06	2.63438613e+06	7.68300532e+03	4.14984609e+00	1.99873142e+03	1.50218802e+03
3.48396372e+02	3.89949307e+04	2.47555204e+06	2.63501931e+06	7.67765806e+03	4.08943593e+00	1.99965363e+03	1.50280382e+03
3.48770683e+02	3.96086548e+04	2.47602700e+06	2.63565198e+06	7.67232560e+03	4.03005306e+00	2.00058195e+03	1.50342325e+03
3.49144993e+02	4.02304932e+04	2.47650157e+06	2.63628412e+06	7.66700789e+03	3.97167772e+00	2.00151643e+03	1.50404633e+03
3.49519303e+02	4.08605308e+04	2.47697575e+06	2.63691574e+06	7.66170486e+03	3.91429052e+00	2.00245715e+03	1.50467312e+03
3.49893614e+02	4.14988528e+04	2.47744955e+06	2.63754683e+06	7.65641645e+03	3.85787253e+00	2.00340417e+03	1.50530366e+03
3.50267924e+02	4.21455453e+04	2.47792295e+06	2.63817739e+06	7.65114260e+03	3.80240519e+00	2.00435755e+03	1.50593799e+03
3.50642234e+02	4.28006949e+04	2.47839596e+06	2.63880742e+06	7.64588325e+03	3.74787035e+00	2.00531735e+03	1.50657615e+03
3.51016545e+02	4.34643887e+04	2.47886857e+06	2.63943690e+06	7.64063834e+03	3.69425025e+00	2.00628365e+03	1.50721818e+03
3.51390855e+02	4.41367147e+04	2.47934079e+06	2.64006585e+06	7.63540780e+03	3.64152748e+00	2.00725650e+03	1.50786413e+03
3.51765165e+02	4.48177612e+04	2.47981260e+06	2.64069425e+06	7.63019158e+03	3.58968502e+00	2.00823598e+03	1.50851405e+03
3.52139475e+02	4.55076174e+04	2.48028401e+06	2.64132210e+06	7.62498962e+03	3.53870621e+00	2.00922215e+03	1.50916797e+03
3.52513786e+02	4.62063730e+04	2.48075502e+06	2.64194940e+06	7.61980185e+03	3.48857473e+00	2.01021508e+03	1.50982593e+03
3.52888096e+02	4.69141182e+04	2.48122561e+06	2.64257615e+06	7.61462822e+03	3.43927460e+00	2.01121483e+03	1.51048799e+03
3.53262406e+02	4.76309442e+04	2.48169580e+06	2.64320234e+06	7.60946866e+03	3.39079019e+00	2.01222147e+03	1.51115419e+03
3.53636717e+02	4.83569423e+04	2.48216557e+06	2.64382796e+06	7.60432312e+03	3.34310617e+00	2.01323507e+03	1.51182456e+03
3.54011027e+02	4.90922049e+04	2.48263492e+06	2.64445302e+06	7.59919153e+03	3.29620756e+00	2.01425569e+03	1.51249916e+03
3.54385337e+02	4.98368249e+04	2.48310386e+06	2.64507751e+06	7.59407385e+03	3.25007968e+00	2.01528341e+03	1.51317803e+03
3.54759648e+02	5.05908956e+04	2.48357237e+06	2.64570143e+06	7.58897000e+03	3.20470814e+00	2.01631830e+03	1.51386121e+03
3.55133958e+02	5.13545112e+04	2.48404046e+06	2.64632477e+06	7.58387994e+03	3.16007887e+00	2.01736041e+03	1.51454875e+03
3.55508268e+02	5.21277665e+04	2.48450813e+06	2.64694753e+06	7.57880359e+03	3.11617808e+00	2.01840983e+03	1.51524070e+03
3.55882579e+02	5.29107568e+04	2.48497536e+06	2.64756971e+06	7.57374091e+03	3.07299227e+00	2.01946662e+03	1.51593709e+03
3.56256889e+02	5.37035782e+04	2.48544216e+06	2.64819130e+06	7.56869184e+03	3.03050822e+00	2.02053085e+03	1.51663797e+03
3.56631199e+02	5.45063274e+04	2.48590853e+06	2.64881230e+06	7.56365632e+03	2.98871296e+00	2.02160258e+03	1.51734339e+03
3.57005510e+02	5.53191017e+04	2.48637446e+06	2.64943270e+06	7.55863428e+03	2.94759381e+00	2.02268190e+03	1.51805339e+03
3.57379820e+02	5.61419990e+04	2.48683995e+06	2.65005251e+06	7.55362568e+03	2.90713835e+00	2.02376887e+03	1.51876802e+03
3.57754130e+02	5.69751180e+04	2.48730500e+06	2.65067172e+06	7.54863046e+03	2.86733440e+00	2.02486356e+03	1.51948733e+03
3.58128440e+02	5.78185579e+04	2.48776960e+06	2.65129032e+06	7.54364855e+03	2.82817004e+00	2.02596605e+03	1.52021135e+03
3.58502751e+02	5.86724186e+04	2.48823376e+06	2.65190831e+06	7.53867991e+03	2.78963358e+00	2.02707640e+03	1.52094014e+03
3.58877061e+02	5.95368007e+04	2.48869747e+06	2.65252569e+06	7.53372448e+03	2.75171358e+00	2.02819468e+03	1.52167374e+03
3.59251371e+02	6.04118054e+04	2.48916072e+06	2.65314245e+06	7.52878220e+03	2.71439883e+00	2.02932097e+03	1.52241220e+03
3.59625682e+02	6.12975345e+04	2.48962351e+06	2.65375859e+06	7.52385301e+03	2.67767834e+00	2.03045534e+03	1.52315556e+03
3.59999992e+02	6.21940906e+04	2.49008585e+06	2.65437411e+06	7.51893685e+03	2.64154134e+00	2.03159786e+03	1.52390387e+03
3.60374302e+02	6.31015769e+04	2.49054773e+06	2.65498901e+06	7.51403368e+03	2.60597730e+00	2.03274861e+03	1.52465718e+03
3.60748613e+02	6.40200971e+04	2.49100914e+06	2.65560327e+06	7.50914344e+03	2.57097587e+00	2.03390765e+03	1.52541552e+03
3.61122923e+02	6.49497558e+04	2.49147009e+06	2.65621689e+06	7.50426607e+03	2.53652692e+00	2.03507506e+03	1.52617895e+03
3.61497233e+02	6.58906581e+04	2.49193056e+06	2.65682988e+06	7.49940152e+03	2.50262054e+00	2.03625092e+03	1.52694752e+03
3.61871544e+02	6.68429099e+04	2.49239057e+06	2.65744222e+06	7.49454973e+03	2.46924700e+00	2.03743529e+03	1.52772127e+03
3.62245854e+02	6.78066176e+04	2.49285010e+06	2.65805392e+06	7.48971064e+03	2.43639676e+00	2.03862826e+03	1.52850024e+03
3.62620164e+02	6.87818883e+04	2.49330915e+06	2.65866497e+06	7.48488421e+03	2.40406049e+00	2.03982988e+03	1.52928449e+03
3.62994474e+02	6.97688299e+04	2.49376772e+06	2.65927536e+06	7.48007038e+03	2.37222902e+00	2.04104025e+03	1.53007406e+03
3.63368785e+02	7.07675508e+04	2.49422581e+06	2.65988510e+06	7.47526909e+03	2.34089338e+00	2.04225942e+03	1.53086899e+03
3.63743095e+02	7.17781602e+04	2.49468341e+06	2.66049417e+06	7.47048030e+03	2.31004478e+00	2.04348749e+03	1.53166933e+03
3.64117405e+02	7.28007680e+04	2.49514052e+06	2.66110258e+06	7.46570394e+03	2.27967459e+00	2.04472451e+03	1.53247514e+03
3.64491716e+02	7.38354845e+04	2.49559714e+06	2.66171032e+06	7.46093996e+03	2.24977436e+00	2.04597057e+03	1.53328645e+03
3.64866026e+02	7.48824209e+04	2.49605327e+06	2.66231739e+06	7.45618831e+03	2.22033581e+00	2.04722574e+03	1.53410332e+03
3.65240336e+02	7.59416892e+04	2.49650890e+06	2.66292378e+06	7.45144895e+03	2.19135080e+00	2.04849010e+03	1.53492578e+03
3.65614647e+02	7.70134017e+04	2.49696402e+06	2.66352949e+06	7.44672180e+03	2.16281138e+00	2.04976371e+03	1.53575389e+03
3.65988957e+02	7.80976716e+04	2.49741865e+06	2.66413451e+06	7.44200683e+03	2.13470973e+00	2.05104667e+03	1.53658769e+03
3.66363267e+02	7.91946129e+04	2.49787277e+06	2.66473884e+06	7.43730397e+03	2.10703821e+00	2.05233903e+03	1.53742724e+03
3.66737578e+02	8.03043401e+04	2.49832638e+06	2.66534248e+06	7.43261319e+03	2.07978930e+00	2.05364088e+03	1.53827256e+03
3.67111888e+02	8.14269683e+04	2.49877947e+06	2.66594543e+06	7.42793442e+03	2.05295564e+00	2.05495230e+03	1.53912373e+03
3.67486198e+02	8.25626135e+04	2.49923205e+06	2.66654767e+06	7.42326761e+03	2.02653001e+00	2.05627335e+03	1.53998077e+03
3.67860509e+02	8.37113923e+04	2.49968412e+06	2.66714921e+06	7.41861271e+03	2.00050535e+00	2.05760412e+03	1.54084374e+03
3.68234819e+02	8.48734218e+04	2.50013566e+06	2.66775004e+06	7.41396967e+03	1.97487470e+00	2.05894467e+03	1.54171268e+03
3.68609129e+02	8.60488202e+04	2.50058668e+06	2.66835015e+06	7.40933844e+03	1.94963126e+00	2.06029510e+03	1.54258763e+03
3.68983439e+02	8.72377059e+04	2.50103717e+06	2.66894955e+06	7.40471896e+03	1.92476835e+00	2.06165546e+03	1.54346866e+03
3.69357750e+02	8.84401983e+04	2.50148714e+06	2.66954823e+06	7.40011119e+03	1.90027943e+00	2.06302584e+03	1.54435579e+03
3.69732060e+02	8.96564175e+04	2.50193657e+06	2.67014618e+06	7.39551508e+03	1.87615808e+00	2.06440632e+03	1.54524908e+03
3.70106370e+02	9.08864840e+04	2.50238546e+06	2.67074340e+06	7.39093057e+03	1.85239799e+00	2.06579697e+03	1.54614858e+03
3.70480681e+02	9.21305194e+04	2.50283382e+06	2.67133990e+06	7.38635761e+03	1.82899299e+00	2.06719787e+03	1.54705433e+03
3.70854991e+02	9.33886456e+04	2.50328164e+06	2.67193565e+06	7.38179616e+03	1.80593702e+00	2.06860908e+03	1.54796637e+03
3.71229301e+02	9.46609854e+04	2.50372891e+06	2.67253066e+06	7.37724616e+03	1.78322413e+00	2.07003070e+03	1.54888475e+03
3.71603612e+02	9.59476623e+04	2.50417563e+06	2.67312493e+06	7.37270756e+03	1.76084850e+00	2.07146279e+03	1.54980952e+03
3.71977922e+02	9.72488004e+04	2.50462180e+06	2.67371844e+06	7.36818032e+03	1.73880439e+00	2.07290543e+03	1.55074072e+03
3.72352232e+02	9.85645246e+04	2.50506742e+06	2.67431121e+06	7.36366438e+03	1.71708621e+00	2.07435870e+03	1.55167840e+03
3.72726543e+02	9.98949604e+04	2.50551248e+06	2.67490321e+06	7.35915970e+03	1.69568843e+00	2.07582268e+03	1.55262260e+03
3.73100853e+02	1.01240234e+05	2.50595699e+06	2.67549446e+06	7.35466622e+03	1.67460566e+00	2.07729743e+03	1.55357337e+03
3.73475163e+02	1.02600472e+05	2.50640093e+06	2.67608493e+06	7.35018390e+03	1.65383261e+00	2.07878303e+03	1.55453075e+03
3.73849473e+02	1.03975803e+05	2.50684430e+06	2.67667464e+06	7.34571268e+03	1.63336406e+00	2.08027957e+03	1.55549479e+03
3.74223784e+02	1.05366355e+05	2.50728710e+06	2.67726357e+06	7.34125252e+03	1.61319491e+00	2.08178711e+03	1.55646553e+03
3.74598094e+02	1.06772256e+05	2.50772934e+06	2.67785173e+06	7.33680338e+03	1.59332015e+00	2.08330574e+03	1.55744301e+03
3.74972404e+02	1.08193637e+05	2.50817100e+06	2.67843910e+06	7.33236520e+03	1.57373488e+00	2.08483552e+03	1.55842729e+03
3.75346715e+02	1.09630628e+05	2.50861208e+06	2.67902568e+06	7.32793793e+03	1.55443426e+00	2.08637653e+03	1.55941839e+03
3.75721025e+02	1.11083359e+05	2.50905257e+06	2.67961147e+06	7.32352152e+03	1.53541357e+00	2.08792885e+03	1.56041637e+03
3.76095335e+02	1.12551964e+05	2.50949249e+06	2.68019647e+06	7.31911594e+03	1.51666816e+00	2.08949255e+03	1.56142128e+03
3.76469646e+02	1.14036574e+05	2.50993182e+06	2.68078067e+06	7.31472112e+03	1.49819347e+00	2.09106771e+03	1.56243314e+03
3.76843956e+02	1.15537323e+05	2.51037055e+06	2.68136406e+06	7.31033703e+03	1.47998502e+00	2.09265439e+03	1.56345201e+03
3.77218266e+02	1.17054344e+05	2.51080870e+06	2.68194664e+06	7.30596361e+03	1.46203843e+00	2.09425269e+03	1.56447793e+03
3.77592577e+02	1.18587773e+05	2.51124624e+06	2.68252842e+06	7.30160082e+03	1.44434938e+00	2.09586266e+03	1.56551093e+03
3.77966887e+02	1.20137744e+05	2.51168319e+06	2.68310937e+06	7.29724862e+03	1.42691365e+00	2.09748438e+03	1.56655107e+03
3.78341197e+02	1.21704394e+05	2.51211953e+06	2.68368951e+06	7.29290694e+03	1.40972707e+00	2.09911793e+03	1.56759837e+03
3.78715508e+02	1.23287859e+05	2.51255527e+06	2.68426882e+06	7.28857576e+03	1.39278557e+00	2.10076337e+03	1.56865289e+03
3.79089818e+02	1.24888277e+05	2.51299039e+06	2.68484730e+06	7.28425502e+03	1.37608515e+00	2.10242079e+03	1.56971466e+03
3.79464128e+02	1.26505786e+05	2.51342491e+06	2.68542494e+06	7.27994467e+03	1.35962188e+00	2.10409025e+03	1.57078373e+03
3.79838438e+02	1.28140526e+05	2.51385881e+06	2.68600175e+06	7.27564468e+03	1.34339189e+00	2.10577183e+03	1.57186013e+03
3.80212749e+02	1.29792635e+05	2.51429209e+06	2.68657772e+06	7.27135498e+03	1.32739141e+00	2.10746559e+03	1.57294390e+03
3.80587059e+02	1.31462254e+05	2.51472474e+06	2.68715283e+06	7.26707555e+03	1.31161671e+00	2.10917161e+03	1.57403508e+03
3.80961369e+02	1.33149524e+05	2.51515678e+06	2.68772710e+06	7.26280632e+03	1.29606415e+00	2.11088996e+03	1.57513372e+03
3.81335680e+02	1.34854587e+05	2.51558818e+06	2.68830051e+06	7.25854727e+03	1.28073013e+00	2.11262071e+03	1.57623984e+03
3.81709990e+02	1.36577585e+05	2.51601895e+06	2.68887306e+06	7.25429833e+03	1.26561113e+00	2.11436393e+03	1.57735348e+03
3.82084300e+02	1.38318661e+05	2.51644909e+06	2.68944475e+06	7.25005947e+03	1.25070370e+00	2.11611969e+03	1.57847469e+03
3.82458611e+02	1.40077960e+05	2.51687859e+06	2.69001557e+06	7.24583065e+03	1.23600445e+00	2.11788806e+03	1.57960350e+03
3.82832921e+02	1.41855626e+05	2.51730745e+06	2.69058552e+06	7.24161181e+03	1.22151003e+00	2.11966910e+03	1.58073994e+03
3.83207231e+02	1.43651804e+05	2.51773566e+06	2.69115459e+06	7.23740291e+03	1.20721718e+00	2.12146289e+03	1.58188405e+03
3.83581542e+02	1.45466640e+05	2.51816323e+06	2.69172277e+06	7.23320391e+03	1.19312268e+00	2.12326949e+03	1.58303587e+03
3.83955852e+02	1.47300281e+05	2.51859014e+06	2.69229007e+06	7.22901476e+03	1.17922337e+00	2.12508897e+03	1.58419543e+03
3.84330162e+02	1.49152875e+05	2.51901640e+06	2.69285649e+06	7.22483542e+03	1.16551615e+00	2.12692140e+03	1.58536276e+03
3.84704472e+02	1.51024569e+05	2.51944200e+06	2.69342200e+06	7.22066585e+03	1.15199798e+00	2.12876684e+03	1.58653790e+03
3.85078783e+02	1.52915513e+05	2.51986695e+06	2.69398662e+06	7.21650600e+03	1.13866585e+00	2.13062536e+03	1.58772088e+03
3.85453093e+02	1.54825856e+05	2.52029122e+06	2.69455033e+06	7.21235583e+03	1.12551684e+00	2.13249702e+03	1.58891174e+03
3.85827403e+02	1.56755749e+05	2.52071483e+06	2.69511314e+06	7.20821530e+03	1.11254805e+00	2.13438189e+03	1.59011049e+03
3.86201714e+02	1.58705343e+05	2.52113778e+06	2.69567503e+06	7.20408435e+03	1.09975665e+00	2.13628002e+03	1.59131719e+03
3.86576024e+02	1.60674789e+05	2.52156004e+06	2.69623601e+06	7.19996295e+03	1.08713985e+00	2.13819149e+03	1.59253185e+03
3.86950334e+02	1.62664240e+05	2.52198163e+06	2.69679606e+06	7.19585106e+03	1.07469491e+00	2.14011636e+03	1.59375450e+03
3.87324645e+02	1.64673849e+05	2.52240254e+06	2.69735519e+06	7.19174864e+03	1.06241915e+00	2.14205468e+03	1.59498518e+03
3.87698955e+02	1.66703770e+05	2.52282277e+06	2.69791339e+06	7.18765563e+03	1.05030992e+00	2.14400652e+03	1.59622391e+03
3.88073265e+02	1.68754158e+05	2.52324231e+06	2.69847066e+06	7.18357200e+03	1.03836464e+00	2.14597194e+03	1.59747072e+03
3.88447576e+02	1.70825168e+05	2.52366116e+06	2.69902698e+06	7.17949770e+03	1.02658074e+00	2.14795100e+03	1.59872564e+03
3.88821886e+02	1.72916957e+05	2.52407931e+06	2.69958237e+06	7.17543270e+03	1.01495572e+00	2.14994375e+03	1.59998869e+03
3.89196196e+02	1.75029680e+05	2.52449677e+06	2.70013680e+06	7.17137695e+03	1.00348712e+00	2.15195025e+03	1.60125990e+03
3.89570507e+02	1.77163497e+05	2.52491353e+06	2.70069029e+06	7.16733042e+03	9.92172520e-01	2.15397057e+03	1.60253930e+03
3.89944817e+02	1.79318564e+05	2.52532959e+06	2.70124281e+06	7.16329304e+03	9.81009545e-01	2.15600476e+03	1.60382690e+03
3.90319127e+02	1.81495041e+05	2.52574494e+06	2.70179438e+06	7.15926480e+03	9.69995857e-01	2.15805286e+03	1.60512274e+03
3.90693437e+02	1.83693088e+05	2.52615958e+06	2.70234498e+06	7.15524564e+03	9.59129161e-01	2.16011495e+03	1.60642683e+03
3.91067748e+02	1.85912866e+05	2.52657351e+06	2.70289461e+06	7.15123552e+03	9.48407199e-01	2.16219107e+03	1.60773919e+03
3.91442058e+02	1.88154534e+05	2.52698672e+06	2.70344327e+06	7.14723441e+03	9.37827756e-01	2.16428127e+03	1.60905985e+03
3.91816368e+02	1.90418256e+05	2.52739922e+06	2.70399095e+06	7.14324226e+03	9.27388651e-01	2.16638561e+03	1.61038883e+03
3.92190679e+02	1.92704194e+05	2.52781099e+06	2.70453764e+06	7.13925903e+03	9.17087744e-01	2.16850413e+03	1.61172614e+03
3.92564989e+02	1.95012511e+05	2.52822203e+06	2.70508335e+06	7.13528469e+03	9.06922928e-01	2.17063690e+03	1.61307181e+03
3.92939299e+02	1.97343371e+05	2.52863235e+06	2.70562806e+06	7.13131918e+03	8.96892135e-01	2.17278396e+03	1.61442585e+03
3.93313610e+02	1.99696940e+05	2.52904193e+06	2.70617178e+06	7.12736248e+03	8.86993331e-01	2.17494535e+03	1.61578828e+03
3.93687920e+02	2.02073382e+05	2.52945077e+06	2.70671450e+06	7.12341453e+03	8.77224518e-01	2.17712113e+03	1.61715911e+03
3.94062230e+02	2.04472864e+05	2.52985888e+06	2.70725621e+06	7.11947531e+03	8.67583729e-01	2.17931134e+03	1.61853837e+03
3.94436541e+02	2.06895553e+05	2.53026625e+06	2.70779691e+06	7.11554476e+03	8.58069034e-01	2.18151603e+03	1.61992606e+03
3.94810851e+02	2.09341617e+05	2.53067287e+06	2.70833660e+06	7.11162286e+03	8.48678533e-01	2.18373524e+03	1.62132219e+03
3.95185161e+02	2.11811224e+05	2.53107874e+06	2.70887527e+06	7.10770956e+03	8.39410360e-01	2.18596902e+03	1.62272679e+03
3.95559471e+02	2.14304542e+05	2.53148385e+06	2.70941292e+06	7.10380483e+03	8.30262679e-01	2.18821741e+03	1.62413986e+03
3.95933782e+02	2.16821744e+05	2.53188822e+06	2.70994954e+06	7.09990861e+03	8.21233686e-01	2.19048045e+03	1.62556142e+03
3.96308092e+02	2.19362997e+05	2.53229182e+06	2.71048512e+06	7.09602089e+03	8.12321606e-01	2.19275819e+03	1.62699146e+03
3.96682402e+02	2.21928475e+05	2.53269466e+06	2.71101967e+06	7.09214160e+03	8.03524697e-01	2.19505066e+03	1.62843001e+03
3.97056713e+02	2.24518349e+05	2.53309674e+06	2.71155318e+06	7.08827073e+03	7.94841242e-01	2.19735790e+03	1.62987707e+03
3.97431023e+02	2.27132792e+05	2.53349805e+06	2.71208565e+06	7.08440822e+03	7.86269555e-01	2.19967996e+03	1.63133264e+03
3.97805333e+02	2.29771978e+05	2.53389858e+06	2.71261706e+06	7.08055405e+03	7.77807979e-01	2.20201686e+03	1.63279674e+03
3.98179644e+02	2.32436080e+05	2.53429834e+06	2.71314742e+06	7.07670817e+03	7.69454883e-01	2.20436865e+03	1.63426937e+03
3.98553954e+02	2.35125274e+05	2.53469733e+06	2.71367672e+06	7.07287054e+03	7.61208663e-01	2.20673536e+03	1.63575053e+03
3.98928264e+02	2.37839735e+05	2.53509553e+06	2.71420496e+06	7.06904113e+03	7.53067744e-01	2.20911703e+03	1.63724022e+03
3.99302575e+02	2.40579640e+05	2.53549294e+06	2.71473213e+06	7.06521989e+03	7.45030574e-01	2.21151368e+03	1.63873846e+03
3.99676885e+02	2.43345166e+05	2.53588957e+06	2.71525823e+06	7.06140680e+03	7.37095629e-01	2.21392535e+03	1.64024523e+03
4.00051195e+02	2.46136491e+05	2.53628541e+06	2.71578325e+06	7.05760182e+03	7.29261409e-01	2.21635208e+03	1.64176055e+03
4.00425506e+02	2.48953794e+05	2.53668045e+06	2.71630719e+06	7.05380489e+03	7.21526439e-01	2.21879388e+03	1.64328440e+03
4.00799816e+02	2.51797253e+05	2.53707469e+06	2.71683005e+06	7.05001600e+03	7.13889269e-01	2.22125080e+03	1.64481679e+03
4.01174126e+02	2.54667049e+05	2.53746813e+06	2.71735181e+06	7.04623510e+03	7.06348473e-01	2.22372286e+03	1.64635773e+03
4.01548436e+02	2.57563363e+05	2.53786077e+06	2.71787248e+06	7.04246216e+03	6.98902646e-01	2.22621008e+03	1.64790719e+03
4.01922747e+02	2.60486376e+05	2.53825260e+06	2.71839206e+06	7.03869714e+03	6.91550408e-01	2.22871249e+03	1.64946518e+03
4.02297057e+02	2.63436271e+05	2.53864362e+06	2.71891053e+06	7.03494000e+03	6.84290403e-01	2.23123012e+03	1.65103170e+03
4.02671367e+02	2.66413230e+05	2.53903382e+06	2.71942789e+06	7.03119070e+03	6.77121293e-01	2.23376299e+03	1.65260674e+03
4.03045678e+02	2.69417437e+05	2.53942321e+06	2.71994414e+06	7.02744922e+03	6.70041767e-01	2.23631113e+03	1.65419028e+03
4.03419988e+02	2.72449077e+05	2.53981177e+06	2.72045928e+06	7.02371550e+03	6.63050530e-01	2.23887455e+03	1.65578233e+03
4.03794298e+02	2.75508335e+05	2.54019951e+06	2.72097329e+06	7.01998953e+03	6.56146312e-01	2.24145328e+03	1.65738288e+03
4.04168609e+02	2.78595396e+05	2.54058643e+06	2.72148618e+06	7.01627126e+03	6.49327862e-01	2.24404734e+03	1.65899191e+03
4.04542919e+02	2.81710448e+05	2.54097251e+06	2.72199794e+06	7.01256065e+03	6.42593949e-01	2.24665674e+03	1.66060941e+03
4.04917229e+02	2.84853677e+05	2.54135776e+06	2.72250857e+06	7.00885768e+03	6.35943364e-01	2.24928151e+03	1.66223537e+03
4.05291540e+02	2.88025271e+05	2.54174217e+06	2.72301805e+06	7.00516230e+03	6.29374913e-01	2.25192166e+03	1.66386979e+03
4.05665850e+02	2.91225421e+05	2.54212575e+06	2.72352640e+06	7.00147449e+03	6.22887427e-01	2.25457721e+03	1.66551264e+03
4.06040160e+02	2.94454314e+05	2.54250848e+06	2.72403360e+06	6.99779419e+03	6.16479750e-01	2.25724817e+03	1.66716391e+03
4.06414470e+02	2.97712141e+05	2.54289036e+06	2.72453964e+06	6.99412139e+03	6.10150750e-01	2.25993456e+03	1.66882359e+03
4.06788781e+02	3.00999093e+05	2.54327139e+06	2.72504454e+06	6.99045605e+03	6.03899309e-01	2.26263639e+03	1.67049165e+03
4.07163091e+02	3.04315363e+05	2.54365157e+06	2.72554827e+06	6.98679812e+03	5.97724329e-01	2.26535367e+03	1.67216809e+03
4.07537401e+02	3.07661141e+05	2.54403089e+06	2.72605083e+06	6.98314759e+03	5.91624729e-01	2.26808641e+03	1.67385288e+03
4.07911712e+02	3.11036622e+05	2.54440936e+06	2.72655223e+06	6.97950440e+03	5.85599445e-01	2.27083463e+03	1.67554601e+03
4.08286022e+02	3.14442000e+05	2.54478696e+06	2.72705245e+06	6.97586853e+03	5.79647430e-01	2.27359834e+03	1.67724746e+03
4.08660332e+02	3.17877468e+05	2.54516369e+06	2.72755150e+06	6.97223995e+03	5.73767654e-01	2.27637753e+03	1.67895719e+03
4.09034643e+02	3.21343222e+05	2.54553956e+06	2.72804936e+06	6.96861861e+03	5.67959102e-01	2.27917223e+03	1.68067521e+03
4.09408953e+02	3.24839458e+05	2.54591455e+06	2.72854604e+06	6.96500450e+03	5.62220778e-01	2.28198243e+03	1.68240147e+03
4.09783263e+02	3.28366374e+05	2.54628866e+06	2.72904153e+06	6.96139756e+03	5.56551698e-01	2.28480815e+03	1.68413596e+03
4.10157574e+02	3.31924166e+05	2.54666190e+06	2.72953582e+06	6.95779777e+03	5.50950896e-01	2.28764939e+03	1.68587865e+03
4.10531884e+02	3.35513032e+05	2.54703426e+06	2.73002891e+06	6.95420510e+03	5.45417421e-01	2.29050614e+03	1.68762953e+03
4.10906194e+02	3.39133172e+05	2.54740573e+06	2.73052080e+06	6.95061951e+03	5.39950336e-01	2.29337843e+03	1.68938855e+03
4.11280505e+02	3.42784786e+05	2.54777631e+06	2.73101148e+06	6.94704097e+03	5.34548719e-01	2.29626625e+03	1.69115570e+03
4.11654815e+02	3.46468073e+05	2.54814600e+06	2.73150095e+06	6.94346945e+03	5.29211663e-01	2.29916959e+03	1.69293096e+03
4.12029125e+02	3.50183235e+05	2.54851480e+06	2.73198920e+06	6.93990491e+03	5.23938275e-01	2.30208847e+03	1.69471428e+03
4.12403435e+02	3.53930473e+05	2.54888269e+06	2.73247623e+06	6.93634732e+03	5.18727676e-01	2.30502288e+03	1.69650565e+03
4.12777746e+02	3.57709990e+05	2.54924969e+06	2.73296203e+06	6.93279665e+03	5.13578999e-01	2.30797283e+03	1.69830502e+03
4.13152056e+02	3.61521990e+05	2.54961578e+06	2.73344660e+06	6.92925286e+03	5.08491394e-01	2.31093831e+03	1.70011238e+03
4.13526366e+02	3.65366676e+05	2.54998097e+06	2.73392994e+06	6.92571592e+03	5.03464020e-01	2.31391932e+03	1.70192770e+03
4.13900677e+02	3.69244253e+05	2.55034524e+06	2.73441204e+06	6.92218581e+03	4.98496053e-01	2.31691586e+03	1.70375093e+03
4.14274987e+02	3.73154927e+05	2.55070860e+06	2.73489290e+06	6.91866248e+03	4.93586679e-01	2.31992792e+03	1.70558205e+03
4.14649297e+02	3.77098903e+05	2.55107104e+06	2.73537251e+06	6.91514592e+03	4.88735098e-01	2.32295551e+03	1.70742103e+03
4.15023608e+02	3.81076388e+05	2.55143256e+06	2.73585087e+06	6.91163607e+03	4.83940521e-01	2.32599861e+03	1.70926783e+03
4.15397918e+02	3.85087591e+05	2.55179316e+06	2.73632797e+06	6.90813292e+03	4.79202172e-01	2.32905723e+03	1.71112241e+03
4.15772228e+02	3.89132719e+05	2.55215283e+06	2.73680381e+06	6.90463643e+03	4.74519288e-01	2.33213136e+03	1.71298475e+03
